sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-03,2025-04-25T12:28:43.867144Z,71,394,54.5,18.1
lw-ms-ambi-02,2025-04-25T12:28:45.692816Z,65,618,48,20.3
lw-ms-ambi-01,2025-04-25T12:34:39.546121Z,67,311,55,17.8
lw-ms-ambi-03,2025-04-25T12:38:39.889513Z,71,403,54.5,18.1
lw-ms-ambi-02,2025-04-25T12:48:44.054505Z,65,607,48,20.3
lw-ms-ambi-03,2025-04-25T12:48:44.172424Z,71,406,54.5,18.2
lw-ms-ambi-01,2025-04-25T12:54:41.488129Z,67,306,55,17.8
lw-ms-ambi-03,2025-04-25T12:58:42.728043Z,71,407,54.5,18.2
lw-ms-ambi-02,2025-04-25T12:58:43.199604Z,65,622,48,20.4
lw-ms-ambi-01,2025-04-25T13:04:40.242868Z,67,319,54.5,17.9
lw-ms-ambi-03,2025-04-25T13:08:41.826734Z,71,404,54.5,18.2
lw-ms-ambi-02,2025-04-25T13:08:45.045317Z,65,611,48,20.4
lw-ms-ambi-03,2025-04-25T13:18:41.080838Z,71,396,54,18.3
lw-ms-ambi-01,2025-04-25T13:24:40.428886Z,67,312,55,17.9
lw-ms-ambi-02,2025-04-25T13:28:43.767957Z,65,611,48,20.4
lw-ms-ambi-01,2025-04-25T13:34:39.619912Z,67,316,54.5,17.9
lw-ms-ambi-03,2025-04-25T13:38:41.046448Z,71,398,54,18.3
lw-ms-ambi-02,2025-04-25T13:38:43.864971Z,65,604,48,20.5
lw-ms-ambi-01,2025-04-25T13:44:45.696387Z,67,323,54.5,17.9
lw-ms-ambi-03,2025-04-25T13:48:43.974728Z,71,399,54.5,18.3
lw-ms-ambi-02,2025-04-25T13:48:45.788096Z,65,604,48,20.5
lw-ms-ambi-01,2025-04-25T13:54:40.102622Z,67,315,55,17.9
lw-ms-ambi-03,2025-04-25T13:58:40.325694Z,71,404,54.5,18.3
lw-ms-ambi-02,2025-04-25T13:58:43.924476Z,65,598,48,20.5
lw-ms-ambi-01,2025-04-25T14:04:42.712463Z,67,309,55,17.9
lw-ms-ambi-03,2025-04-25T14:08:43.736229Z,71,400,54.5,18.2
lw-ms-ambi-02,2025-04-25T14:08:44.217078Z,65,616,48,20.5
lw-ms-ambi-01,2025-04-25T14:14:38.999443Z,67,319,55,17.9
lw-ms-ambi-03,2025-04-25T14:18:42.782042Z,71,403,54.5,18.2
lw-ms-ambi-02,2025-04-25T14:18:43.300763Z,65,598,48,20.5
lw-ms-ambi-01,2025-04-25T14:24:40.708765Z,67,321,54.5,17.9
lw-ms-ambi-03,2025-04-25T14:28:43.893422Z,71,406,54.5,18.2
lw-ms-ambi-02,2025-04-25T14:28:45.871242Z,65,608,48,20.5
lw-ms-ambi-01,2025-04-25T14:34:42.513364Z,67,321,55,17.9
lw-ms-ambi-03,2025-04-25T14:38:43.166904Z,71,398,54.5,18.2
lw-ms-ambi-02,2025-04-25T14:38:44.186777Z,65,601,48,20.5
lw-ms-ambi-01,2025-04-25T14:44:41.992462Z,67,303,54.5,17.9
lw-ms-ambi-03,2025-04-25T14:48:41.093672Z,71,402,54.5,18.2
lw-ms-ambi-02,2025-04-25T14:48:51.305376Z,65,599,48,20.5
lw-ms-ambi-01,2025-04-25T14:54:40.857387Z,67,313,55,17.9
lw-ms-ambi-02,2025-04-25T14:58:43.027913Z,65,600,48,20.5
lw-ms-ambi-03,2025-04-25T14:58:43.065529Z,71,409,54.5,18.2
lw-ms-ambi-01,2025-04-25T15:04:41.135147Z,67,311,55,17.9
lw-ms-ambi-03,2025-04-25T15:08:42.889011Z,71,410,54.5,18.2
lw-ms-ambi-02,2025-04-25T15:08:46.773220Z,65,590,48,20.5
lw-ms-ambi-01,2025-04-25T15:14:40.800305Z,67,319,55,17.9
lw-ms-ambi-02,2025-04-25T15:18:42.069933Z,65,596,48,20.5
lw-ms-ambi-03,2025-04-25T15:18:42.987492Z,71,414,54.5,18.2
lw-ms-ambi-01,2025-04-25T15:24:40.133944Z,67,312,55.5,17.9
lw-ms-ambi-03,2025-04-25T15:28:42.100129Z,71,400,54.5,18.1
lw-ms-ambi-02,2025-04-25T15:28:47.493641Z,65,635,48,20.5
lw-ms-ambi-01,2025-04-25T15:34:43.038442Z,67,323,55.5,17.9
lw-ms-ambi-03,2025-04-25T15:38:42.322126Z,71,405,55,18.2
lw-ms-ambi-02,2025-04-25T15:38:43.753748Z,65,644,48,20.5
lw-ms-ambi-01,2025-04-25T15:44:41.998967Z,67,311,55.5,17.9
lw-ms-ambi-01,2025-04-25T15:54:38.763953Z,67,311,55.5,17.9
lw-ms-ambi-03,2025-04-25T15:58:43.708456Z,71,407,55,18.1
lw-ms-ambi-02,2025-04-25T15:58:47.217333Z,65,659,48.5,20.6
lw-ms-ambi-01,2025-04-25T16:04:40.916322Z,67,318,55.5,17.8
lw-ms-ambi-03,2025-04-25T16:08:42.167534Z,71,410,55,18.1
lw-ms-ambi-02,2025-04-25T16:08:45.645339Z,65,712,48.5,20.6
lw-ms-ambi-01,2025-04-25T16:14:43.199093Z,67,310,55.5,17.8
lw-ms-ambi-03,2025-04-25T16:18:41.332954Z,71,406,55,18.1
lw-ms-ambi-01,2025-04-25T16:24:41.727695Z,67,312,56,17.8
lw-ms-ambi-03,2025-04-25T16:28:41.416014Z,71,414,55,18.1
lw-ms-ambi-02,2025-04-25T16:28:44.441698Z,65,721,48.5,20.6
lw-ms-ambi-01,2025-04-25T16:34:42.416400Z,67,315,56,17.8
lw-ms-ambi-03,2025-04-25T16:38:40.710136Z,71,413,55,18.1
