sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-03,2025-01-21T12:38:39.555966Z,77,354,55.5,15.6
lw-ms-ambi-01,2025-01-21T12:44:37.948636Z,73,288,54.5,17.6
lw-ms-ambi-02,2025-01-21T12:46:46.943611Z,74,581,54,18.3
lw-ms-ambi-03,2025-01-21T12:48:39.518545Z,77,348,55.5,15.6
lw-ms-ambi-01,2025-01-21T12:54:37.236595Z,73,291,54,17.6
lw-ms-ambi-02,2025-01-21T12:56:46.109309Z,74,581,54,18.3
lw-ms-ambi-03,2025-01-21T12:58:39.136593Z,77,351,55.5,15.7
lw-ms-ambi-01,2025-01-21T13:04:38.522392Z,73,298,54,17.5
lw-ms-ambi-02,2025-01-21T13:06:45.377222Z,74,573,54,18.3
lw-ms-ambi-03,2025-01-21T13:08:39.956362Z,77,362,56,15.7
lw-ms-ambi-01,2025-01-21T13:14:38.845710Z,73,303,54,17.6
lw-ms-ambi-02,2025-01-21T13:16:45.118261Z,74,567,54,18.3
lw-ms-ambi-03,2025-01-21T13:18:38.830520Z,77,362,56,15.6
lw-ms-ambi-01,2025-01-21T13:24:38.995179Z,73,304,54,17.6
lw-ms-ambi-02,2025-01-21T13:26:46.977495Z,74,558,54,18.3
lw-ms-ambi-03,2025-01-21T13:28:39.427576Z,77,351,56,15.6
lw-ms-ambi-01,2025-01-21T13:34:39.958524Z,73,330,54,17.5
lw-ms-ambi-03,2025-01-21T13:38:42.831307Z,77,478,57.5,15.7
lw-ms-ambi-01,2025-01-21T13:44:38.096795Z,73,343,54,17.6
lw-ms-ambi-02,2025-01-21T13:46:45.720856Z,74,603,54.5,18.3
lw-ms-ambi-03,2025-01-21T13:48:41.384762Z,77,493,57,15.8
lw-ms-ambi-01,2025-01-21T13:54:38.235747Z,73,345,54,17.6
lw-ms-ambi-02,2025-01-21T13:56:45.668066Z,74,639,54.5,18.3
lw-ms-ambi-03,2025-01-21T13:58:41.813437Z,77,497,56.5,15.8
lw-ms-ambi-01,2025-01-21T14:04:39.191264Z,73,454,54.5,17.6
lw-ms-ambi-02,2025-01-21T14:06:44.253091Z,74,630,54.5,18.3
lw-ms-ambi-03,2025-01-21T14:08:39.422668Z,77,488,56.5,15.8
lw-ms-ambi-01,2025-01-21T14:14:40.840183Z,73,518,55,17.6
lw-ms-ambi-02,2025-01-21T14:16:46.634529Z,74,648,54.5,18.3
lw-ms-ambi-03,2025-01-21T14:18:40.821630Z,77,479,56.5,15.8
lw-ms-ambi-01,2025-01-21T14:24:41.496256Z,73,576,55,17.7
lw-ms-ambi-02,2025-01-21T14:26:46.422879Z,74,654,54.5,18.3
lw-ms-ambi-03,2025-01-21T14:28:41.256396Z,77,474,56,15.8
lw-ms-ambi-01,2025-01-21T14:34:42.453779Z,73,639,55,17.7
